d/a   n.(缩)承兑交单
deficiency   n.缺乏
deficient   adj.缺乏的，不足的
deficit   n.赤字
define   v.下定义，界定，规定
definite   adj.明确的，限定的
definitely   adv.明确地，肯定地
definition   n.定义，解释
definitive   adv.定义的
deflate   v.收缩，紧缩
deflect   v.偏斜
deflection   n.偏转，偏斜
deform   v.使变形，使残废
deformation   n.变形
defray   v.支付
defy   v.反抗，蔑视，使不能
degradation   n.降低，恶化
degrade   v.败低，下降，堕落
degree   n.程度，度，学位
delay   v.,n.耽搁，延误
del credere   n.保付
delegate   n.代表 n.委派
delegation   n.代表团
delete   v.删除
deletion   n.删除
deliberate   adj.故意的，审慎的
deliberately   adv.故意地，从容地
deliberation   n.慎重，故意
delicacy   n.精致
delicate   adj.优雅的，精致的
delicious   adj.美味的
delight   n.快乐，乐事 n.喜爱
delightful   adj.令人高兴的
delinquency   n.轻微犯罪
delinquent   adj.拖欠的
deliver   v.交付，递送，讲述
deliverance   n.救助
delivery   n.交付，递送，讲述
delusion   n.错觉
delusive   adj.令人产生错觉的
demand   v.,n.要求，需求
demanding   adj.对人要求严格的
democracy   n.民主，民主政体
democrat   n.民主党人
democratic   adj.民主的
demolish   v.拆除
demolition   n.拆除
demonstrate   v.论证，演示，表明
demonstration   n.示范，表演，示威
demurrage   n.滞期费
den   n.窝
denial   n.拒绝，否定
denominate   v.为...命名
denomination   n.命名
denote   v.表示
denounce   v.谴责，斥责
dense   adj.稠密的，浓厚的
density   n.密度，稠密
dent   n.牙，槽，凹陷
dentist   n.牙科医生
deny   v.否认，拒绝
depart   v.离去，出发，违反
department   n.部，部门，系
departure   n.离开，违背
depend   v.依靠，依赖
dependability   n.可依赖性
dependable   adj.可依赖的
dependant   n.受赡养者
dependence   n.依靠，依赖
dependent   adj.依靠的，随..而定
depict   v.描述，描画
depiction   n.描述
deplete   v.减少，耗尽
deposit   v.存放，储蓄 n.存款
deposition   n.免职，罢官
depreciate   v.降价，贬值，折旧
depreciation   n.折旧，贬值
depress   v.抑制，使人抑郁
depressed   adj.情绪低落的
depression   n.沮丧，萧条
deprive   v.剥夺，丧失
depth   n.深度
deputy   n.代表 adj.副职的
derivation   n.起源，衍生物
derive   v.从...而来，得来
derrick   n.钻塔，井架
descend   v.降临，下来，遗传
descendant   n.子孙，后裔
descent   n.下降，血统
describe   v.描写，作图
description   n.描述，形容
desert   v.遗弃，擅离 n.沙漠
deserve   v.应受，值得
design   v.设计，旨在 n.设计
designate   v.指明，指定
designation   n.指定，委派
designer   n.设计者
desirable   adj.合乎要求的
desire   n.欲望，要求 v.要求
desk   n.课桌，写字台
desolate   adj.荒芜的，凄凉的
desolation   n.荒凉，凄凉
despair   n.,v.绝望
desperate   adj.不顾一切的
desperation   n.绝望
despise   v.鄙视，看不起
despite   prep.不管，任凭
dessert   n.(最后一道)甜食
destination   n.终点，目的地
destine   v.注定，预定
destiny   n.命运，定数
destroy   v.破坏，摧毁，消灭
destruction   n.破坏，毁灭
destructive   adj.破坏性的
detach   v.分离，拆开
detail   n.细节
detailed   adj.详细的，详尽的
detain   v.留住，阻止
detect   v.发现，侦察
detection   n.发现，侦查
detective   n.侦探
deteriorate   v.恶化，败坏
deterioration   n.退化
determination   n.决心，决定
determine   v.决心，决定，测定
detour   v.绕道，绕开
detract   v.降低
detriment   n.损害
detrimental   adj.有害的
devaluation   n.贬值
devalue   v.贬值
develop   v.发展，开发，成长
developing   adj.发展中的
development   n.进展，发展
deviate   v.背离
deviation   n.背离，偏向
device   n.装置，方法
devil   n.魔鬼，恶人
devise   v.设计，计划
devote   v.奉献，贡献
devoted   adj.献身于...的
devotion   n.献身，专心
devour   v.吞吃，吞没
dew   n.露水
diagnose   v.诊断
diagnosis   n.诊断
diagram   n.图表，图解
dial   n.钟盘 v.拨电话
dialect   n.方言
dialog   n.对话，对白
diameter   n.直径
diamond   n.钻石，金刚石
diary   n.日记
dictate   v.口授，命令
dictation   n.口授，听写
dictator   n.独裁者
dictatorship   n.独裁，专政
diction   n.措辞
dictionary   n.词典，字典
die   v.死，消亡
diesel   n.内燃机，柴油机
diet   n.饮食，节食
differ   v.不同，相异
difference   n.差异，差别
different   adj.不同的，各种
differential   adj.有差别的
differently   adv.不同地
difficult   adj.困难的
difficulty   n.困难，难题
dig   v.挖，采掘
digest   v.消化 n.摘要
digestion   n.消化
digit   n.数字
digital   adj.数字的
dignity   n.尊贵，尊严
dike   n.堤
dilute   v.稀释
diligent   adj.勤奋的，用功的
dim   adj.暗淡的，模糊的
dime   n.(美元)一角
dimension   n.维，方面，尺寸
dimensional   adj.尺寸的
diminish   v.减少，缩小
dine   v.用餐
dining-room   n.餐厅
dingy   adj.肮脏的
dinner   n.正餐，晚餐，宴会
dip   v.,n.蘸，浸
diploma   n.毕业文凭，学位证书
diplomacy   n.外交
diplomat   n.外交人员
diplomatic   n.外交的
direct   v.支配，指挥，对准
direction   n.方向，指示，说明
directive   n.命令，指令
directly   adv.直接地，立即
director   n.指导者，导演，领导
directory   n.目录，地址录
dirt   n.尘埃，灰尘，泥土
dirty   adj.肮脏的
disable   v.使残废
disabled   adj.残废的 n.残疾人
disadvantage   n.不利之处
disadvantageous   adj.不利的
disagree   v.意见不合，不符
disagreement   n.不和，不一致
disallow   v.不允许
disappear   v.失踪，消失
disappearance   n.消失
disappoint   v.使...失望
disappointed   adj.失望的，扫兴的
disappointment   n.失望
disapproval   n.不批准
disaster   n.自然灾害，祸患
disastrous   adj.灾难性的
disburse   v.支付
disbursement   n.支付
disc   n.圆盘，唱片
discard   v.,n.丢弃，扔掉
discern   v.操作别，辨明
discharge   v.解除，放出，卸货
disciplinary   adj.纪律的，学科的
discipline   n.训练，纪律 n.锻炼
disclaim   v.放弃，不承认
disclose   v.揭开，透露
discomfort   n.不安，不舒服
discomfortable   adj.不舒服的
discontinue   v.中断
discount   n.,v.折扣
discourage   v.使...泄气，阻止
discourse   n.演说，谈话，话语
discover   v.发现
discovery   n.发现，发现物
discreet   adj.周到的，慎重的
discreetly   adv.慎重地
discrepancy   n.单货不符
discretion   n.慎重
discriminate   v.区别，岐视
discrimination   n.辨别，岐视
discuss   v.讨论
discussion   v.讨论，商议
disdain   v.轻视
disease   n.疾病
disgrace   n.耻辱 v.使受辱
disgraceful   adj.耻辱的，受辱的
disguise   v.,n.伪装，掩饰
disgust   n.厌恶 v.使讨厌
disgustful   adj.令人生厌的
dish   n.盘子，碟子
dishonorable   adj.不名誉的
dishonor   n.耻辱 v.凌辱
disillusion   v.使觉醒，幻灭
disinclined   adj.不愿意的
disinfectant   n.消毒剂
disintegration   n.分散，解体
dislike   v.,n.厌恶
disloyal   adj.不忠的
disloyalty   adj.不忠
dismal   adj.阴郁的，沉闷的
dismay   v.使沮丧 n.沮丧
dismiss   v.解散，开除
dismissal   n.解散，开除
disobey   v.不服从
disorder   n.紊乱，骚乱，失调
disparity   n.不同，悬殊
dispatch   v.迅速派遣 n.快件
dispel   v.驱散
dispense   v.分配，施予
disperse   v.驱散，散布
displace   v.置换，取代
displacement   n.置换，替换物
display   v.,n.陈列，表现
displease   v.使生气，惹怒
displeasure   n.不快
disposal   n.处置，对付
dispose   v.处置，对付，解决
disposed   adj.有...倾向的
disposition   n.布置，处置
dispute   v.争论，质疑 n.争论
disregard   v.,n.无视，不顾
dissatisfaction   n.不满
dissatisfy   v.使不满
dissimilar   adj.不同的
dissipate   v.驱散，消耗，浪费
dissolve   v.溶解，使终结
distance   n.距离，远处
distant   adj.远方的，疏远的
distillation   n.蒸馏
distinct   adj.不同的，明显的
distinction   n.差别，非凡
distinctly   adv.明晰地，清楚地
distinguish   v.辨别，认出
distinguished   adj.尊贵的，尊敬的
distort   v.扭曲，歪曲
distortion   n.曲解，失真，变形
distract   v.分神，迷惑
distraction   n.分心
distress   n.苦恼，不幸
distribute   v.分配，分布，分销
distribution   n.分配，分布
distributor   n.分销商
distributorship   n.分销权
district   v.区，区域，地区
disturb   v.打扰，打乱，使烦恼
disturbance   n.干扰，动乱
disunite   v.使分裂
disuse   v.,n.废止
ditch   n.沟，渠，下水道
ditto   n.同上
dive   v.潜水，跳水，俯冲
diver   n.潜水员，跳水运动员
diverge   v.分歧，离题
divergence   n.分歧
diverse   adj.不同的，分歧的
diversion   n.转移，消遣
diversity   n.多样化
divert   v.使转向，消遣
divide   v.分开，分享，分裂
divine   adj.神的，神圣的
division   n.划分，部分
divorce   v.离婚，使脱离
dizzy   adj.晕眩的
do   v.做，干，足够，制作
dock   n.码头
doctor   n.医生，博士
doctrine   n.教义，学说
document   n.文件，公文
documentary   adj.文化的
documentation   n.提供文件
dodge   v.躲避
dog   n.狗
doggedly   adv.顽固地
doll   n.玩偶，娃娃
dollar   n.元，美元
domain   n.领土，领域
dome   n.圆顶，穹窿
domestic   adj.家里的，国内的
dominant   adj.统治的
dominate   v.统治，支配，占优势
donate   v.捐献
donation   n.捐献
donkey   n.驴，笨蛋
doom   n.命运，判决 v.命定
door   n.门，(一户)人家
doorway   n.门口，门道
dormitory   n.集体宿舍
dose   n.剂量，一服药
dot   n.点，圆点
double   adj.两倍的，双重的
doubt   v.,n.怀疑，疑惑
doubtful   adj.怀疑的，可疑的
doubtless   adv.无疑地，大约
dough   n.面团
dove   n.鸽子
down   adv.向下，下降
downstairs   adv.在楼下
downtown   n.闹市 adv.去市里
downward   adj.向下的，下坡的
downwards   adv.向下，以下
doze   v.打瞌睡
dozen   n.一打
draft   n.草案，草稿，穿堂风
drag   v.拖，拽
dragon   n.龙
drain   v.排水，耗竭，泄
drainage   v.排水系统，污水
drama   n.戏剧，剧本
dramatic   adj.戏剧性的，显著的
dramatist   n.戏剧家
dramatize   v.使戏剧化
drastic   adj.激烈的，严厉的
draw   v.画，拉，吸引
drawback   n.不利，欠缺
drawer   n.抽屉
drawing   n.素描，绘画，图样
dread   v.,n.恐惧，担心
dreadful   adj.可怕的，糟糕的
dream   n.梦，梦想 v.做梦
dreary   adj.疲劳的
drench   v.浸泡，充满
dress   n.服装 v.穿衣
dressing   n.打扮，调味品
drift   v.漂流，游荡
drill   n.钻头，操练 v.训练
drink   v.喝，饮 n.饮料，酒
drip   v.滴下，流下
drive   v.驾驶，乘车 n.车道
driver   n.司机
droop   v.下垂
drop   v.落下 n.滴，下降
dropout   n.中途退出者
drought   n.旱灾
drown   v.淹死
drug   n.药物，麻醉剂
drugstore   n.零食店
drum   n.鼓 v.敲鼓
drunk   adj.喝醉的
drunkard   n.醉鬼
dry   adj.干的，枯燥的
dubious   adj.怀疑的
duck   n.鸭子
due   adj.到期的，预定的
duke   n.公爵
dull   adj.沉闷的，钝的
duly   adv.按期地
dumb   adj.哑的
dummy   n.傀儡
dump   v.倾倒 n.垃圾堆
dumping   n.倾销
dung   n.粪
dungeon   n.地牢
duplicate   adj.二重的，复制的
durable   adj.持久的，耐用的
duration   n.期间，待续时间
during   prep.在...期间
dusk   n.黄昏
dust   n.尘土，粉末 v.掸土
dustbin   n.簸箕
dusty   adj.沾满灰尘的
duty   n.责任，义务，关税
duty-free   adj.免税的
dwarf   n.矮子，侏儒
dwell   v.居住
dweller   n.居住者，住客
dwelling   n.住宅
dye   n.染料 v.染色
dynamic   adj.动力的，动态的
dynasty   n.朝代，王朝
