machine   n.机器
migrant   adj.迁移的，候鸟的
migrate   v.迁移(海外)，移栖
migration   n.迁移，移居海外
mild   adj.温和的，味淡的
mile   n.英里
mileage   n.里程
milestone   n.里程碑
military   adj.军事的，好斗的
militia   n.民兵(组织)
milk   n.奶，乳夜 v.挤奶
milkman   n.送奶人
milky   adj.加奶的，乳白色的
mill   n.磨坊，工厂 v.滚乱
miller   n.磨坊主
millimetre   n.毫米
million   n.百万
millionaire   n.百万富翁
mince   v.切碎，绞碎
mincer   n.粉碎机
mind   n.头脑，智力 v.介意
mine   pron.我的 n.矿山
miner   n.矿工
mineral   n.矿物 adj.矿物的
mingle   v.混合，混入
miniature   n.雏形，缩影，袖珍
minicomputer   n.微型计算机
minimize   v.使减到最小
minimum   n.最少量 adj.最小的
minister   n.教士，部长，大臣
ministry   n.(政府)部
minor   adj.较小的，次要的
minority   n.少数，少数民族
mint   n.造币厂，薄荷
minus   prep.减去 adj.减的
minute   n.分钟，片刻
miracle   n.奇迹，令人惊讶的事
miraculous   adj.奇迹(般)的
mirror   n.镜子 v.反映
miscarriage   n.未到目的地
miscarry   v.未运到(目的地)
mischief   n.伤害，恶作剧
miser   n.吝啬鬼，守财奴
miserable   adj.悲惨的，糟糕的
misery   n.痛苦，悲惨，苦难
misfortune   n.不幸
misgiving   n.疑虑，担心
mishandle   v.装卸不慎
mishap   n.事故
misinterpret   v.误解
mislead   v.引入岐途
miss   v.未击中,错过 n.小姐
missile   n.导弹，发射物
missing   adj.丢失的，缺少的
mission   n.使团，使命，天职
missionary   n.传教士
mist   n.薄雾 v.使迷糊
mistake   n.错误，误解 v.搞错
mistaken   adj.搞错了的，误解的
mister   n.先生(缩写为Mr.)
mistress   n.女主人，情妇
misty   adj.雾蒙蒙的，有雾的
misunderstand   v.误解，误会
misunderstanding   n.误会，曲解
mitten   n.连指手套，露指手套
mix   v.混合，配料，交往
mixer   n.混合器
mixture   n.混合物，混和
moan   v.,n.呻吟，悲叹
mob   n.暴民，乌合之众
mobile   adj.机动的，流动的
mobilize   v.动员
mock   v.嘲笑，愚弄
mode   n.方式，方法
model   n.模范，模型，模特儿
moderate   adj.适度的 v.缓和
moderately   adv.适度地，适中地
modern   adj.现代的，时髦的
modernization   n.现代化
modernize   v.使...现代化
modest   adj.谦虚的，质朴的
modesty   n.谦虚
modification   n.修改，缓和
modified   adj.改良的，改进的
modify   v.修改，减轻，修饰
modulate   v.调整，改变
module   n.模量，模件
moist   adj.潮湿的
moisture   n.潮气
molecular   adj.分子的
molecule   n.分子
moment   n.时刻，瞬间
momentary   adj.片刻的，瞬间的
momentous   adj.重要的，重大的
monarch   n.君主，王室
monastery   adj.修道院，寺院
monday   n.星期一
monetary   adj.货币的，金融的
money   n.金钱，货币，财富
monitor   n.班长,监视器 v.监视
monk   n.和尚，修道士
monkey   n.猴子
monopolize   v.垄断，独占
monopoly   n.垄断，独占
monotonous   adj.单调的，枯燥的
monotony   n.单调，枯燥
monster   n.怪兽，怪物，魔鬼
monstrous   adj.可怕的，极恶的
month   n.月份
monthly   adj.每月的 n.月刊
monument   n.纪念章，不朽之物
monumental   adj.纪念碑式的
mood   n.心情，心境，情绪
moon   n.月亮
moonlight   n.月光
moonlighting   n.业余干活
moor   v.系泊，把船栓定
mop   n.拖把，墩布
moral   adj.道德的 n.教训
morale   n.士气，斗志
morality   n.道德品质
more   adj.更多的,更 adv.更
moreover   adv.此外，而且
morning   n.早晨，上午
mortal   adj.致命的
moslem   n.,adj.穆斯林
mosque   n.清真寺
mosquito   n.蚊子
moss   n.苔藓，地衣
most   adj.最多的 adv.非常
mostly   adv.主要地，大多
motel   n.汽车旅馆
moth   n.蛾
mother   n.母亲 adj.出生地的
mother-in-law   n.岳母，婆婆
motion   n.运动，议案
motionless   adj.不动的
motivate   v.促进，激发
motivation   n.动机
motive   n.动机
motor   n.发动机
motorcar   n.汽车
motorcycle   n.摩托车
motorist   n.摩托车手
motorway   n.汽车道，高速公路
motto   n.座右铭
mould   n.模子，型，霉菌
mount   n.山，岳 v.登上
mountain   n.山
mountainous   adj.多山的，山一般的
mourn   v.悲悼，哀痛
mournful   adj.悲悼的，哀痛的
mourning   n.哀痛
mouse   n.老鼠
moustache   n.胡子，须
mouth   n.口，嘴巴，河口
mouthful   n.一口，满口
move   v.移动，推动，搬家
movement   n.活动，运动，动作
movie   n.电影(院)
mr.   n.(缩)先生
mrs.   n.(缩)夫人，太太
ms.   n.(缩)女士
much   adj.许多的 n.许多
mud   n.泥浆
muddy   adj.泥泞的
muffle   v.裹住，捂住
muffler   n.围巾，消音器
mug   n.(有柄)大杯
mule   n.骡子
multiple   adj.复合的，多次方的
multiplication   n.乘法，增加
multiply   v.乘，增加，繁殖
multifunction   n.多功能的
multitude   n.大批，大群
municipal   adj.市的，市政的
mumble   v.咕哝，嘟囔
mumps   n.腮腺炎
murder   v.,n.谋杀(案)
murderer   n.凶手，杀人犯
murmur   v.低声说
muscle   n.筋，肌肉
muscular   adj.肌肉发达的
muse   v.沉思，默想
museum   n.博物馆，陈列馆
mushroom   n.“蘑菇
music   n.音乐，乐曲
musical   adj.音乐的 n.歌舞片
musician   n.音乐家，作曲家
must   v.必须，准是 n.必须
mustard   n.芥末
mute   adj.缄默的 n.哑巴
mutter   v.咕哝，抱怨
mutton   n.羊肉
mutual   adj.相互的，共同的
my   pron.我的
myriad   n.,adj.无数(的)
myself   pron.我自己，我亲自
mysterious   adj.神秘的，玄妙的
mystery   n.神秘，奥妙，秘事
mystic   adj.神秘的
myth   n.神话
mythology   n.神话(学)
