cab   n.出租汽车
clasp   n.扣子 v.紧握(抱)
class   n.阶级，种类，班级
classic   n.经典作品
classical   adj.经典的，古典的
classification   n.分类
classify   v.分类，分等
classmate   n.同班同学
classroom   n.教室
clatter   v.咔嗒响 n.卡嗒响
clause   n.条款，从句
claw   n.爪
clay   n.黏土
clean   adj.清洁的，干的
clear   adj.清楚的，明确的
clearance   n.结关
clearly   adv.清晰地，无疑地
clench   v.咬紧，握紧，决定
clerk   n.办事员，职员，店员
clever   adj.聪明的，灵巧的
cleverness   n.聪明，机灵
client   n.当事人，顾客，用户
clientele   n.顾客(总称)
cliff   n.悬崖，峭壁
climate   n.气候
climax   n.顶点，高潮
climb   v.爬，攀登，上升
cling   v.粘住，依附
clinic   n.诊所
clip   n.夹子，卡子 v.夹住
cloak   n.外套，借口
clock   n.时钟
clockwise   adj.,adv.顺时针的
close   v.关闭，结束 n.终结
closed   adj.关闭的，停业的
close-down   n.倒闭
closely   adv.紧密地，严密地
closet   n.壁橱
cloth   n.织物，布，衣料
clothe   v.给...着衣
clothes   n.衣服(总称)
clothing   n.服装(总称)
cloud   n.云
cloudy   adj.多云的
clown   n.小丑，丑角
club   n.俱乐部，会，棍棒
clue   n.线索
clumsy   adj.笨拙的，愚蠢的
cluster   n.群，串
clutch   v.,n.抓紧
c/o   v.(缩)请转交...
coach   n.客车，教练
coal   n.煤
coarse   adj.粗糙的，粗的
coast   n.海岸，海滨
coastal   adj.沿海的
coat   n.上衣，涂层
cock   n.公鸡
cocktail   n.鸡尾酒
code   n.法规，代码，密码
codify   v.编码
coefficient   n.系数
coffee   n.咖啡
coffin   n.棺材
coherence   n.凝聚性
coherent   adj.有条理的，粘着的
cohesion   n.凝聚力，团结
cohesive   adj.有粘性的
coil   v.卷曲 n.一卷，线圈
coin   n.硬币，创造新词
coinage   v.重合，一致
coincide   n.巧合，同时发生
coincidence   adj.同时发生的
coincident   adj.冷，冷冰冰的
coldness   n.寒冷，冷淡
collaborate   v.协作，勾结
collaboration   n.协作，通敌
collapse   v.倒塌 v.坍塌
collar   n.领子
colleague   n.同事，同行
collect   v.收集，征收，聚集
collection   n.收集，收藏
collective   n.集体 adj.集体的
college   n.学院
collide   v.猛烈碰撞，冲突
collision   n.猛烈碰拉，冲突
colonel   n.上校
colonial   adj.殖民的，殖民地的
colonist   n.殖民者，移民n.殖民主义
colony   n.殖民地
color   n.颜色，色彩，气色
color-blind   adj.色盲的
colorful   adj.色彩丰富的
colorless   adj.无色的
column   n.圆柱，栏
columnist   n.专栏作家
comb   v.梳 n.梳子
combat   v.,n.战斗，斗争
combination   n.混合，组合
combine   v.组合，化合，结合
come   v.来到，出现，发生
comedian   n.喜剧演员
comedy   n.喜剧
comfort   n.舒适，慰藉 v.安慰
comfortable   adj.舒适的，自在的
comic   adj.喜剧的，滑稽的
command   v.,n.命令，控制
commander   n.司令，指挥官
commemorate   n.纪念
commemoration   v.纪念
commence   v.开始
commend   v.称赞，推荐
commandment   n.称赞
comment   n.,v.评论
commerce   n.商业
commercial   adj.商业的，商务的
commission   n.,v.委托，委任
commit   v.委托，犯(错误)
commitment   n.责任
committee   n.委员会
commodity   n.商品
common   adj.共同的，普通的
commonly   adv.通常，平常
commonplace   adj.平凡的，平淡的
commonsense   n.常识
commonwealth   n.共同体，联邦
commune   n.公社
communicate   v.传播，通讯
communication   n.通信，通讯系统
communicative   adj.通讯的
communism   n.共产主义
communist   n.共产主义者
community   n.团体，共同体，群体
compact   adj.严密的，紧凑的
companion   n.同伴，伴侣
company   n.公司，同伴
comparable   adj.可比较的
comparative   adj.比较的，相当的
comparatively   adv.比较地
compare   v.比较，比作
comparison   n.比较
compass   n.指南针，圆规
compatible   adj.可兼容的，一致的
compel   v.强迫，逼迫
compensate   v.赔偿，补偿，酬报
compensation   n.赔偿，补偿
compete   v.竞争，比赛
competent   adj.称职的，有能力的
competition   n.竞争，比赛
competitive   adj.竞争的
competitiveness   n.竞争能力
competitor   n.竞争者，对手
compile   v.编(书)，编辑
complain   v.抱怨，控诉
complaint   n.怨言，控告
complement   n.补充，余数
complete   v.完成，结束
completely   adv.完全地，十分
completion   n.完成，完满
complex   adj.综合的，复杂的
complexity   n.复杂性
compliance   n.顺从，应允
complicate   v.使复杂
complicated   adj.错综复杂的
compliment   n.,v.称赞，问候
complimentary   adj.称赞的
comply   v.履行，遵守
component   n.成分，组分
componential   adj.成分的
compose   v.由...组成，作曲
composed   adj.镇静的
composer   n.作曲家
composite   adj.合成的，组合的
composition   n.作文，组成
compound   n.化合物 v.混合
comprehend   v.理解，了解
comprehension   n.理解
comprehensive   adj.综合的，广泛的
compress   v.压缩
compression   n.压缩，凝缩
comprise   v.包括，由...组成
compromise   n.,v.妥协，和解
compels   v.强迫
compulsory   adj.强制的，必修的
computation   n.计算
compute   v.计算
computer   n.计算机
computerization   n.计算机化
computerize   v.使...计算机化
comrade   n.同志
conceal   v.隐瞒，隐藏
concede   v.让步，输
conceit   n.自负，自大
conceited   adj.自负的
conceive   v.想象，怀孕
concentrate   v.集中，浓缩
concentrated   adj.全神贯注的
concentration   n.专心，浓度
concept   n.概念
conception   n.想法，概念
conceptive   adj.概念的
concern   v.涉及，关心 n.商行
concerned   adj.有关的
concerning   prep.关于
concert   n.音乐会
concerted   adj.齐心协力的
concess   v.让步
concession   n.让步，减免，租界
concise   adj.简明的，简要的
conclude   v.结束，缔结，断定
conclusion   n.结束，结论
conclusive   adj.结束的，结论性的
concrete   n.混凝土 adj.具体的
concur   v.同地发生
concurrence   n.合作，并发
concurrent   adj.同时发生的
condemn   v.谴责，判刑
condemnation   n.谴责，判决
condensation   n.凝聚
condense   v.凝结，冷凝，精简
condenser   n.冷凝器，聚光器
condition   n.状态，情形，条件
conditional   adj.有条件的
conduce   v.导致，有益于
conducive   adj.有助于...的
conduct   n.行为，管理 v.为人
conduction   n.传导，传热
conductor   n.(乐队)指挥，售票员
cone   n.锥体，锥形
confer   v.授予，颁布，商议
conference   n.会议
confess   v.坦白，供认
confession   n.供认，自由
confide   v.委托，吐露秘密
confidence   n.信任，信心
confident   adj.确信的，自信的
confidential   adj.机密的
confine   v.限制
confinement   n.限制
confirm   v.证实，确认，批准
confirmation   n.确认
conflict   v.,n.冲突，斗争
conform   v.遵守，使...一致
conformity   n.遵照，一致
confront   v.面对，与...相对
confrontation   n.面对，对峙
confuse   v.混淆，弄糊涂，搅乱
confusion   n.混乱，糊涂
congestion   n.阻塞，消化不良
congratulate   v.祝贺
congratulation   n.祝贺，贺辞
congress   n.(代表)大会，国会
congressman   n.国会议员
conjunction   n.连词，联结
connect   v.连接，联想
connection   n.联系，社会关系
conquer   v.征服，战胜
conqueror   n.征服者，胜利者
conquest   n.征服
conscience   n.良心，良知
conscientious   adj.有良心的
conscientiously   adv.认真地
conscious   adj.意识到的，自觉的
consciousness   n.知觉，意识
consecutive   adj.连续的，连贯的
consent   v.,n.同意，允许
consequence   n.后果，重要性
consequently   adv.因而，所以
conservation   n.保护，保存
conservative   adj.保守的，稳健的
consider   v.考虑，以为，体谅
considerable   adj.相当的，可观的
considerably   adv.相当
considerate   adj.考虑周全的
consideration   n.考虑，照顾
consign   v.委托，托运货物
consignment   n.委托，货物
consist   v.由...组成
consistency   n.一致(性)
consistent   adj.始终如一的，符合
console   v.安慰
consolidate   v.团结
consolidated   adj.加固的，统一的
consolidation   n.团结
consonant   adj.响亮的
conspicuous   adj.显眼的，出众的
conspiracy   n.阴谋
constable   adv.警官
constant   adj.不变的，恒定的
constantly   adv.经常地
constituent   adj.组成的 n.成分
constitute   v.组成，构成，设立
constitution   n.宪法，章程
constitutive   adj.宪法的，章程的
constraint   n.强制，拘束
construct   v.建设，建立
construction   n.建设，建筑
construe   v.翻译，解释
consul   n.领事
consulate   n.领事馆
consult   v.咨询，磋商
consultant   n.咨询顾问(公司)
consultation   n.咨询
consume   v.消费，消耗
consumer   n.消费者，用户
consumption   n.消费，消耗量
contact   n.,v.接触，联系
contain   v.含有，容纳，抑制
container   n.容器，集装箱
contemplate   v.沉思
contemplation   n.苦思冥想
contemporarian   n.同时代人
contemporary   adj.当代的，同时代的
contempt   n.轻视，蔑视
contemptuous   adj.轻视的
content   n.含量，内容 v.满足
contest   n.,v.争夺，比赛
contestant   n.参赛人
context   n.上下文，语境，环境
contextual   adj.上下文的，环境的
continent   adj.节制的 n.大陆
continental   adj.大陆的
contingency   n.事故，意外
continual   adj.连续的，频繁的
continuance   n.连续
continue   v.继续，连续，依旧
continuous   adj.持续的，不断的
continuously   adv.连续不断地
contract   n.契约，合同 v.订
contracted   adj.合同所规定的
contractual   adj.合同的，契约的
contradict   v.反驳，与...矛盾
contradiction   n.矛盾，反驳
contrary   adj.相反的 n.反面
contrast   n.,v.对照，对比
contribute   v.捐献，贡献，投稿
contribution   n.贡献，捐献物
control   v.,n.控制，管理
controversy   n.论战，论争
controversial   adj.有争议的
convenience   n.方便，便利
convenient   adj.便利的，方便的
convention   n.大会，协定，惯例
conventional   adj.传统的，常规的
conversant   adj.精通的，有交情的
conversation   n.会话，谈话
converse   v.谈话，对话，交往
conversely   adv.相反地
conversion   n.转变，转化，换算
convert   v.转换，改变信仰
convey   v.运输，传达
conveyance   n.运送，传达
convict   n.罪犯
conviction   n.定罪，确信
convince   v.使...确信，信服
convinced   adj.信服的
cook   v.烹调，烧 n.厨师
cooker   n.厨具，厨灶
cool   adj.凉的，冷静的
coolness   n.凉爽，冷淡
cooperate   v.合作，协作
cooperation   n.合作，协作
cooperative   adj.合作的 n.合作社
coordinate   v.协调，配合
coordination   n.协调，配合
cope   v.应付，对付
copper   n.铜
copy   v.抄写，复制 n.副本
cord   n.细绳，电线
cordial   adj.诚恳的，亲切的
cordially   adv.亲切地
core   n.核，核心
cork   n.软木塞
corn   n.谷物，玉米
corner   n.角落，拐角
corporate   n.有限公司
corporation   n.公司
correct   adj.正确的，恰当的
correction   n.修改，校正
correctly   adv.正确地
correlate   v.相关，关联
correlation   n.相互关系
correspond   v.符合，通信，相当于
correspondence   n.相应，通信
correspondent   adj.对应的 n.记者
corresponding   adj.相应的，通信的
corridor   n.走廓
corrode   v.腐蚀
corrosion   n.腐蚀
corrupt   adj.腐败的，腐化的
corruption   n.腐败，腐化
cosmetics   n.化妆品
cosmic   adj.宇宙的
cosmos   n.宇宙
cosmopolitan   n.大都市
cost   n.成本，费用 v.花费
costly   adj.昂贵的
cottage   n.村舍
cotton   n.棉花，棉布，棉纱
couch   n.躺椅
cough   v.,n.咳嗽
council   n.理事会，委员会
counsel   n.劝告，辩护律师
counsellor   n.顾问
count   v.计算，数，认为
countable   adj.可计算的
countenance   n.容貌，支持
counter   n.柜台 adj.相反的
countermand   v.撤回，取消
countermeasure   n.对策
counter-offer   n.还价，还盘
counterpart   n.同类的人或物
countersign   v.副署，会签
countersignature   n.副署，会签
countless   adj.无数的
country   n.国家，乡间，故乡
countryside   n.乡下
county   n.县，郡
couple   n.一对，几个，夫妇
courage   n.勇气，胆量
courageous   adj.勇敢的
course   n.过程，路线，课程
court   n.法庭，宫廷，球场
courteous   adj.有礼貌的
courtesy   n.礼貌，礼仪，好意
courtyard   n.院子
cousin   n.堂(或表)兄弟姐妹
cover   v.盖，掩盖 n.盖子
coverage   n.覆盖率
covering   adj.包括的
cow   n.母牛，奶牛
coward   n.懦夫
cowardly   adv.胆小地
crab   n.蟹
crack   v.使...破裂 n.裂缝
cracker   n.苏打饼干，克力架
cradle   n.摇篮，发源地
craft   n.工艺，手艺，飞机
craftsman   n.手艺人
craftsmanship   n.手艺
crane   n.鹤，起重机
crash   v.碰撞 n.坠毁
crate   n.一箱，篓，筐
crave   v.渴望，恳求
crawl   v.爬行，徐徐行进
craziness   n.疯狂
crazy   adj.疯狂的，迷恋的
cream   n.乳脂，奶油
creamy   adj.奶油的，奶黄色的
create   v.创造，创作，造成
creation   n.创造，创造物
creative   adj.有创造力(性)的
creature   n.家伙，生物
credit   n.信誉，信用 v.相信
creditworthy   adj.有信誉的
creditworthiness   n.商誉
creek   n.小川，小湾
creep   v.爬行，蔓延
crew   n.(飞机等的)全体人员
cricket   n.板球，蟋蟀
crime   n.罪，罪行
criminal   n.罪犯 adj.犯罪的
crimson   adj.,n.深红色(的)
cripple   n.跛子 v.使残废
crisis   n.危险，危险期
crisp   adj.松脆的，鲜嫩的
critic   n.评论家，爱挑剔的人
critical   adj.批评的，危急的
criticism   n.批评
criticize   v.批评，评论
crook   n.钩子
crooked   adj.弯曲的，歪的
crop   n.作物，庄稼
cross   n.十字，交叉 v.横过
crossing   n.交叉，十字路口
crossroads   n.交叉路口，十字路
crouch   v.蹲下，缩着
crow   n.乌鸦 v.鸦啼
crowd   n.人群 v.挤满
crown   n.王冠 v.加冕
crude   adj.未加工的，粗糙的
cruel   adj.残酷的，残忍的
cruelty   n.残忍，残酷行为
cruise   v.巡游，巡航
crumb   n.面包屑
crumble   adj.粉碎，崩溃
crush   v.压榨，粉碎
crust   n.面包皮，硬的表面
crutch   n.拐杖
cry   v.,n.叫喊，哭泣
crystal   n.水晶，晶体
cube   n.立方体，三次方
cubic   adj.立方的
cubism   n.立体主义
cuckoo   n.布谷鸟，杜鹃
cucumber   n.黄瓜
cultivate   v.耕作，栽培，培养
cultivation   n.耕作，培养
cultural   adj.文化的
culture   n.文化，养殖
cunning   adj.狡猾的，狡诈的
cup   n.杯子，一杯
cupboard   n.碗橱
curb   v.制止，束缚
cure   v.,n.治疗，矫正
curiosity   n.好奇心，古玩
curious   adj.好奇的，爱打听的
curl   v.卷曲，缭绕 n.卷发
curly   adj.卷曲的，波浪式的
currency   n.通货，货币
current   adj.现令的 n.流
currently   adv.当前，广泛地
curse   n.,v.诅咒，咒骂
curtail   n.削减，剥夺
curtain   n.窗帘，幕布
curve   n.曲线，弯曲
cushion   n.垫子，靠垫
custody   n.保管，监护
custom   n.风俗，习惯
customary   adj.习惯的，通常的
customer   n.顾客，主顾
customs   n.海关
cut   v.割，切，削减，切断
cutlery   n.刀具，餐刀
cutter   n.刀具，裁剪者
cutting   n.切片，剪辑
cycle   n.周期，循环，自行车
cyclist   n.自行车运动员
cylinder   n.圆筒，柱，汽缸
