instant,dteday,atemp,casual,registered,cnt,Label
115,2011/4/25,0.5745,773,3300,4073,Cool
116,2011/4/26,0.594083,678,3722,4400,Cool
117,2011/4/27,0.575142,547,3325,3872,Cool
118,2011/4/28,0.578929,569,3489,4058,Cool
119,2011/4/29,0.497463,878,3717,4595,Cool
120,2011/4/30,0.464021,1965,3347,5312,Cool
121,2011/5/1,0.448204,1138,2213,3351,Cool
122,2011/5/2,0.532833,847,3554,4401,Cool
123,2011/5/3,0.582079,603,3848,4451,Cool
124,2011/5/4,0.40465,255,2378,2633,Cool
125,2011/5/5,0.441917,614,3819,4433,Cool
126,2011/5/6,0.474117,894,3714,4608,Cool
127,2011/5/7,0.512621,1612,3102,4714,Cool
128,2011/5/8,0.518933,1401,2932,4333,Cool
129,2011/5/9,0.525246,664,3698,4362,Cool
130,2011/5/10,0.522721,694,4109,4803,Cool
131,2011/5/11,0.5284,550,3632,4182,Cool
132,2011/5/12,0.523363,695,4169,4864,Cool
133,2011/5/13,0.4943,692,3413,4105,Cool
134,2011/5/14,0.500629,902,2507,3409,Cool
135,2011/5/15,0.536,1582,2971,4553,Cool
136,2011/5/16,0.550512,773,3185,3958,Cool
137,2011/5/17,0.538529,678,3445,4123,Cool
138,2011/5/18,0.527158,536,3319,3855,Cool
139,2011/5/19,0.510742,735,3840,4575,Cool
140,2011/5/20,0.529042,909,4008,4917,Cool
141,2011/5/21,0.571975,2258,3547,5805,Cool
142,2011/5/22,0.5745,1576,3084,4660,Cool
143,2011/5/23,0.590296,836,3438,4274,Cool
144,2011/5/24,0.604813,659,3833,4492,Warm
145,2011/5/25,0.615542,740,4238,4978,Warm
146,2011/5/26,0.654688,758,3919,4677,Warm
147,2011/5/27,0.637008,871,3808,4679,Warm
148,2011/5/28,0.612379,2001,2757,4758,Warm
149,2011/5/29,0.61555,2355,2433,4788,Warm
150,2011/5/30,0.671092,1549,2549,4098,Warm
151,2011/5/31,0.725383,673,3309,3982,Warm
152,2011/6/1,0.720967,513,3461,3974,Warm
153,2011/6/2,0.643942,736,4232,4968,Warm
154,2011/6/3,0.587133,898,4414,5312,Cool
155,2011/6/4,0.594696,1869,3473,5342,Cool
156,2011/6/5,0.616804,1685,3221,4906,Warm
157,2011/6/6,0.621858,673,3875,4548,Warm
158,2011/6/7,0.65595,763,4070,4833,Warm
159,2011/6/8,0.727279,676,3725,4401,Warm
160,2011/6/9,0.757579,563,3352,3915,Warm
161,2011/6/10,0.703292,815,3771,4586,Warm
162,2011/6/11,0.678038,1729,3237,4966,Warm
163,2011/6/12,0.643325,1467,2993,4460,Warm
164,2011/6/13,0.601654,863,4157,5020,Warm
165,2011/6/14,0.591546,727,4164,4891,Cool
166,2011/6/15,0.587754,769,4411,5180,Cool
167,2011/6/16,0.595346,545,3222,3767,Cool
168,2011/6/17,0.600383,863,3981,4844,Warm
169,2011/6/18,0.643954,1807,3312,5119,Warm
170,2011/6/19,0.645846,1639,3105,4744,Warm
171,2011/6/20,0.595346,699,3311,4010,Cool
172,2011/6/21,0.637646,774,4061,4835,Warm
173,2011/6/22,0.693829,661,3846,4507,Warm
174,2011/6/23,0.693833,746,4044,4790,Warm
175,2011/6/24,0.656583,969,4022,4991,Warm
176,2011/6/25,0.643313,1782,3420,5202,Warm
177,2011/6/26,0.637629,1920,3385,5305,Warm
178,2011/6/27,0.637004,854,3854,4708,Warm
179,2011/6/28,0.692558,732,3916,4648,Warm
180,2011/6/29,0.654688,848,4377,5225,Warm
181,2011/6/30,0.637008,1027,4488,5515,Warm
182,2011/7/1,0.652162,1246,4116,5362,Warm
183,2011/7/2,0.667308,2204,2915,5119,Warm
184,2011/7/3,0.668575,2282,2367,4649,Warm
185,2011/7/4,0.665417,3065,2978,6043,Warm
186,2011/7/5,0.696338,1031,3634,4665,Warm
187,2011/7/6,0.685633,784,3845,4629,Warm
188,2011/7/7,0.686871,754,3838,4592,Warm
189,2011/7/8,0.670483,692,3348,4040,Warm
190,2011/7/9,0.664158,1988,3348,5336,Warm
191,2011/7/10,0.690025,1743,3138,4881,Warm
192,2011/7/11,0.729804,723,3363,4086,Warm
193,2011/7/12,0.739275,662,3596,4258,Warm
194,2011/7/13,0.689404,748,3594,4342,Warm
195,2011/7/14,0.635104,888,4196,5084,Warm
196,2011/7/15,0.624371,1318,4220,5538,Warm
197,2011/7/16,0.638263,2418,3505,5923,Warm
198,2011/7/17,0.669833,2006,3296,5302,Warm
199,2011/7/18,0.703925,841,3617,4458,Warm
200,2011/7/19,0.747479,752,3789,4541,Warm
201,2011/7/20,0.74685,644,3688,4332,Warm
202,2011/7/21,0.826371,632,3152,3784,Hot
203,2011/7/22,0.840896,562,2825,3387,
204,2011/7/23,0.804287,987,2298,3285,Hot
205,2011/7/24,0.794829,1050,2556,3606,Warm
206,2011/7/25,0.720958,568,3272,3840,Warm
207,2011/7/26,0.696979,750,3840,4590,Warm
208,2011/7/27,0.690667,755,3901,4656,Warm
209,2011/7/28,0.7399,606,3784,4390,Warm
210,2011/7/29,0.785967,670,3176,3846,Warm
211,2011/7/30,0.728537,1559,2916,4475,Warm
212,2011/7/31,0.729796,1524,2778,4302,Warm
213,2011/8/1,0.703292,729,3537,4266,Warm
214,2011/8/2,0.707071,801,4044,4845,Warm
215,2011/8/3,0.679937,467,3107,3574,Warm
216,2011/8/4,0.664788,799,3777,4576,Warm
217,2011/8/5,0.656567,1023,3843,4866,Warm
218,2011/8/6,0.676154,1521,2773,4294,Warm
219,2011/8/7,0.715292,1298,2487,3785,Warm
220,2011/8/8,0.703283,846,3480,4326,Warm
221,2011/8/9,0.724121,907,3695,4602,Warm
222,2011/8/10,0.684983,884,3896,4780,Warm
223,2011/8/11,0.651521,812,3980,4792,Warm
224,2011/8/12,0.654042,1051,3854,4905,Warm
225,2011/8/13,0.645858,1504,2646,4150,Warm
226,2011/8/14,0.624388,1338,2482,3820,Warm
227,2011/8/15,0.616167,775,3563,4338,Warm
228,2011/8/16,0.645837,721,4004,4725,Warm
229,2011/8/17,0.666671,668,4026,4694,Warm
230,2011/8/18,0.662258,639,3166,3805,Warm
231,2011/8/19,0.633221,797,3356,4153,Warm
232,2011/8/20,0.648996,1914,3277,5191,Warm
233,2011/8/21,0.675525,1249,2624,3873,Warm
234,2011/8/22,0.638254,833,3925,4758,Warm
235,2011/8/23,0.606067,1281,4614,5895,Warm
236,2011/8/24,0.630692,949,4181,5130,Warm
237,2011/8/25,0.645854,435,3107,3542,Warm
238,2011/8/26,0.659733,768,3893,4661,Warm
239,2011/8/27,0.635556,226,889,1115,Warm
240,2011/8/28,0.647959,1415,2919,4334,Warm
241,2011/8/29,0.607958,729,3905,4634,Warm
242,2011/8/30,0.594704,775,4429,5204,Cool
243,2011/8/31,0.611121,688,4370,5058,Warm
244,2011/9/1,0.614921,783,4332,5115,Warm
245,2011/9/2,0.604808,875,3852,4727,Warm
246,2011/9/3,0.633213,1935,2549,4484,Warm
247,2011/9/4,0.665429,2521,2419,4940,Warm
248,2011/9/5,0.625646,1236,2115,3351,Warm
249,2011/9/6,0.5152,204,2506,2710,Cool
250,2011/9/7,0.544229,118,1878,1996,Cool
251,2011/9/8,0.555361,153,1689,1842,Cool
252,2011/9/9,0.578946,417,3127,3544,Cool
253,2011/9/10,0.607962,1750,3595,5345,Warm
254,2011/9/11,0.609229,1633,3413,5046,Warm
255,2011/9/12,0.60213,690,4023,4713,Warm
256,2011/9/13,0.603554,701,4062,4763,Warm
257,2011/9/14,0.6269,647,4138,4785,Warm
258,2011/9/15,0.553671,428,3231,3659,Cool
259,2011/9/16,0.461475,742,4018,4760,Cool
260,2011/9/17,0.478512,1434,3077,4511,Cool
261,2011/9/18,0.490537,1353,2921,4274,Cool
262,2011/9/19,0.529675,691,3848,4539,Cool
263,2011/9/20,0.532217,438,3203,3641,Cool
264,2011/9/21,0.550533,539,3813,4352,Cool
265,2011/9/22,0.554963,555,4240,4795,Cool
266,2011/9/23,0.522125,258,2137,2395,Cool
267,2011/9/24,0.564412,1776,3647,5423,Cool
268,2011/9/25,0.572637,1544,3466,5010,Cool
269,2011/9/26,0.589042,684,3946,4630,Cool
270,2011/9/27,0.574525,477,3643,4120,Cool
271,2011/9/28,0.575158,480,3427,3907,Cool
272,2011/9/29,0.574512,653,4186,4839,Cool
273,2011/9/30,0.544829,830,4372,5202,Cool
274,2011/10/1,0.412863,480,1949,2429,Cool
275,2011/10/2,0.345317,616,2302,2918,Cold
276,2011/10/3,0.392046,330,3240,3570,Cold
277,2011/10/4,0.472858,486,3970,4456,Cool
278,2011/10/5,0.527138,559,4267,4826,Cool
279,2011/10/6,0.480425,639,4126,4765,Cool
280,2011/10/7,0.504404,949,4036,4985,Cool
281,2011/10/8,0.513242,2235,3174,5409,Cool
282,2011/10/9,0.523983,2397,3114,5511,Cool
283,2011/10/10,0.542925,1514,3603,5117,Cool
284,2011/10/11,0.546096,667,3896,4563,Cool
285,2011/10/12,0.517717,217,2199,2416,Cool
286,2011/10/13,0.551804,290,2623,2913,Cool
287,2011/10/14,0.529675,529,3115,3644,Cool
288,2011/10/15,0.498725,1899,3318,5217,Cool
289,2011/10/16,0.503154,1748,3293,5041,Cool
290,2011/10/17,0.510725,713,3857,4570,Cool
291,2011/10/18,0.522721,637,4111,4748,Cool
292,2011/10/19,0.513848,254,2170,2424,Cool
293,2011/10/20,0.466525,471,3724,4195,Cool
294,2011/10/21,0.423596,676,3628,4304,Cool
295,2011/10/22,0.425492,1499,2809,4308,Cool
296,2011/10/23,0.422333,1619,2762,4381,Cool
297,2011/10/24,0.457067,699,3488,4187,Cool
298,2011/10/25,0.463375,695,3992,4687,Cool
299,2011/10/26,0.472846,404,3490,3894,Cool
300,2011/10/27,0.457046,240,2419,2659,Cool
301,2011/10/28,0.318812,456,3291,3747,Cold
302,2011/10/29,0.227913,57,570,627,Cold
303,2011/10/30,0.321329,885,2446,3331,Cold
304,2011/10/31,0.356063,362,3307,3669,Cold
305,2011/11/1,0.397088,410,3658,4068,Cold
306,2011/11/2,0.390133,370,3816,4186,Cold
307,2011/11/3,0.405921,318,3656,3974,Cool
308,2011/11/4,0.403392,470,3576,4046,Cool
309,2011/11/5,0.323854,1156,2770,3926,Cold
310,2011/11/6,0.362358,952,2697,3649,Cold
311,2011/11/7,0.400871,373,3662,4035,Cool
312,2011/11/8,0.412246,376,3829,4205,Cool
313,2011/11/9,0.409079,305,3804,4109,Cool
314,2011/11/10,0.373721,190,2743,2933,Cold
315,2011/11/11,0.306817,440,2928,3368,Cold
316,2011/11/12,0.357942,1275,2792,4067,Cold
317,2011/11/13,0.43055,1004,2713,3717,Cool
318,2011/11/14,0.524612,595,3891,4486,Cool
319,2011/11/15,0.507579,449,3746,4195,Cool
320,2011/11/16,0.451988,145,1672,1817,Cool
321,2011/11/17,0.323221,139,2914,3053,Cold
322,2011/11/18,0.272721,245,3147,3392,Cold
323,2011/11/19,0.324483,943,2720,3663,Cold
324,2011/11/20,0.457058,787,2733,3520,Cool
325,2011/11/21,0.445062,220,2545,2765,Cool
326,2011/11/22,0.421696,69,1538,1607,Cool
327,2011/11/23,0.430537,112,2454,2566,Cool
328,2011/11/24,0.372471,560,935,1495,Cold
329,2011/11/25,0.380671,1095,1697,2792,Cold
330,2011/11/26,0.385087,1249,1819,3068,Cold
331,2011/11/27,0.4558,810,2261,3071,Cool
332,2011/11/28,0.490122,253,3614,3867,Cool
333,2011/11/29,0.451375,96,2818,2914,Cool
334,2011/11/30,0.311221,188,3425,3613,Cold
335,2011/12/1,0.305554,182,3545,3727,Cold
336,2011/12/2,0.331433,268,3672,3940,Cold
337,2011/12/3,0.310604,706,2908,3614,Cold
338,2011/12/4,0.3491,634,2851,3485,Cold
339,2011/12/5,0.393925,233,3578,3811,Cold
340,2011/12/6,0.4564,126,2468,2594,Cool
341,2011/12/7,0.400246,50,655,705,Cool
342,2011/12/8,0.256938,150,3172,3322,Cold
343,2011/12/9,0.317542,261,3359,3620,Cold
344,2011/12/10,0.266412,502,2688,3190,Cold
345,2011/12/11,0.253154,377,2366,2743,Cold
346,2011/12/12,0.270196,143,3167,3310,Cold
347,2011/12/13,0.301138,155,3368,3523,Cold
348,2011/12/14,0.338362,178,3562,3740,Cold
349,2011/12/15,0.412237,181,3528,3709,Cool
350,2011/12/16,0.359825,178,3399,3577,Cold
351,2011/12/17,0.249371,275,2464,2739,Cold
352,2011/12/18,0.245579,220,2211,2431,Cold
353,2011/12/19,0.280933,260,3143,3403,Cold
354,2011/12/20,0.396454,216,3534,3750,Cold
355,2011/12/21,0.428017,107,2553,2660,Cool
356,2011/12/22,0.426121,227,2841,3068,Cool
357,2011/12/23,0.377513,163,2046,2209,Cold
358,2011/12/24,0.299242,155,856,1011,Cold
359,2011/12/25,0.279961,303,451,754,Cold
360,2011/12/26,0.315535,430,887,1317,Cold
361,2011/12/27,0.327633,103,1059,1162,Cold
362,2011/12/28,0.279974,255,2047,2302,Cold
363,2011/12/29,0.263892,254,2169,2423,Cold
364,2011/12/30,0.318812,491,2508,2999,Cold
365,2011/12/31,0.414121,665,1820,2485,Cool
366,2012/1/1,0.375621,686,1608,2294,Cold
367,2012/1/2,0.252304,244,1707,1951,Cold
368,2012/1/3,0.126275,89,2147,2236,Cold
369,2012/1/4,0.119337,95,2273,2368,Cold
370,2012/1/5,0.278412,140,3132,3272,Cold
371,2012/1/6,0.340267,307,3791,4098,Cold
372,2012/1/7,0.390779,1070,3451,4521,Cold
373,2012/1/8,0.340258,599,2826,3425,Cold
374,2012/1/9,0.247479,106,2270,2376,Cold
375,2012/1/10,0.318826,173,3425,3598,Cold
376,2012/1/11,0.282821,92,2085,2177,Cold
377,2012/1/12,0.381938,269,3828,4097,Cold
378,2012/1/13,0.249362,174,3040,3214,Cold
379,2012/1/14,0.183087,333,2160,2493,Cold
380,2012/1/15,0.161625,284,2027,2311,Cold
381,2012/1/16,0.190663,217,2081,2298,Cold
382,2012/1/17,0.364278,127,2808,2935,Cold
383,2012/1/18,0.275254,109,3267,3376,Cold
384,2012/1/19,0.190038,130,3162,3292,Cold
385,2012/1/20,0.220958,115,3048,3163,Cold
386,2012/1/21,0.174875,67,1234,1301,Cold
387,2012/1/22,0.16225,196,1781,1977,Cold
388,2012/1/23,0.243058,145,2287,2432,Cold
389,2012/1/24,0.349108,439,3900,4339,Cold
390,2012/1/25,0.294821,467,3803,4270,Cold
391,2012/1/26,0.35605,244,3831,4075,Cold
392,2012/1/27,0.415383,269,3187,3456,Cool
393,2012/1/28,0.326379,775,3248,4023,Cold
394,2012/1/29,0.272721,558,2685,3243,Cold
395,2012/1/30,0.262625,126,3498,3624,Cold
396,2012/1/31,0.381317,324,4185,4509,Cold
397,2012/2/1,0.466538,304,4275,4579,Cool
398,2012/2/2,0.398971,190,3571,3761,Cold
399,2012/2/3,0.309346,310,3841,4151,Cold
400,2012/2/4,0.272725,384,2448,2832,Cold
401,2012/2/5,0.264521,318,2629,2947,Cold
402,2012/2/6,0.296426,206,3578,3784,Cold
403,2012/2/7,0.361104,199,4176,4375,Cold
404,2012/2/8,0.266421,109,2693,2802,Cold
405,2012/2/9,0.261988,163,3667,3830,Cold
406,2012/2/10,0.293558,227,3604,3831,Cold
407,2012/2/11,0.210867,192,1977,2169,Cold
408,2012/2/12,0.101658,73,1456,1529,Cold
409,2012/2/13,0.227913,94,3328,3422,Cold
410,2012/2/14,0.333946,135,3787,3922,Cold
411,2012/2/15,0.351629,141,4028,4169,Cold
412,2012/2/16,0.330162,74,2931,3005,Cold
413,2012/2/17,0.351629,349,3805,4154,Cold
414,2012/2/18,0.355425,1435,2883,4318,Cold
415,2012/2/19,0.265788,618,2071,2689,Cold
416,2012/2/20,0.273391,502,2627,3129,Cold
417,2012/2/21,0.295113,163,3614,3777,Cold
418,2012/2/22,0.392667,394,4379,4773,Cold
419,2012/2/23,0.444446,516,4546,5062,Cool
420,2012/2/24,0.410971,246,3241,3487,Cool
421,2012/2/25,0.255675,317,2415,2732,Cold
422,2012/2/26,0.268308,515,2874,3389,Cold
423,2012/2/27,0.357954,253,4069,4322,Cold
424,2012/2/28,0.353525,229,4134,4363,Cold
425,2012/2/29,0.34847,65,1769,1834,Cold
426,2012/3/1,0.475371,325,4665,4990,Cool
427,2012/3/2,0.359842,246,2948,3194,Cold
428,2012/3/3,0.413492,956,3110,4066,Cool
429,2012/3/4,0.303021,710,2713,3423,Cold
430,2012/3/5,0.241171,203,3130,3333,Cold
431,2012/3/6,0.255042,221,3735,3956,Cold
432,2012/3/7,0.3851,432,4484,4916,Cold
433,2012/3/8,0.524604,486,4896,5382,Cool
434,2012/3/9,0.397083,447,4122,4569,Cold
435,2012/3/10,0.277767,968,3150,4118,Cold
436,2012/3/11,0.35967,1658,3253,4911,Cold
437,2012/3/12,0.459592,838,4460,5298,Cool
438,2012/3/13,0.542929,762,5085,5847,Cool
439,2012/3/14,0.548617,997,5315,6312,Cool
440,2012/3/15,0.532825,1005,5187,6192,Cool
441,2012/3/16,0.436229,548,3830,4378,Cool
442,2012/3/17,0.505046,3155,4681,7836,Cool
443,2012/3/18,0.464,2207,3685,5892,Cool
444,2012/3/19,0.532821,982,5171,6153,Cool
445,2012/3/20,0.538533,1051,5042,6093,Cool
446,2012/3/21,0.513258,1122,5108,6230,Cool
447,2012/3/22,0.531567,1334,5537,6871,Cool
448,2012/3/23,0.570067,2469,5893,8362,Cool
449,2012/3/24,0.486733,1033,2339,3372,Cool
450,2012/3/25,0.437488,1532,3464,4996,Cool
451,2012/3/26,0.43875,795,4763,5558,Cool
452,2012/3/27,0.315654,531,4571,5102,Cold
453,2012/3/28,0.47095,674,5024,5698,Cool
454,2012/3/29,0.482304,834,5299,6133,Cool
455,2012/3/30,0.375621,796,4663,5459,Cold
456,2012/3/31,0.421708,2301,3934,6235,Cool
457,2012/4/1,0.417287,2347,3694,6041,Cool
458,2012/4/2,0.427513,1208,4728,5936,Cool
459,2012/4/3,0.461483,1348,5424,6772,Cool
460,2012/4/4,0.53345,1058,5378,6436,Cool
461,2012/4/5,0.431163,1192,5265,6457,Cool
462,2012/4/6,0.390767,1807,4653,6460,Cold
463,2012/4/7,0.426129,3252,3605,6857,Cool
464,2012/4/8,0.492425,2230,2939,5169,Cool
465,2012/4/9,0.476638,905,4680,5585,Cool
466,2012/4/10,0.436233,819,5099,5918,Cool
467,2012/4/11,0.337274,482,4380,4862,Cold
468,2012/4/12,0.387604,663,4746,5409,Cold
469,2012/4/13,0.431808,1252,5146,6398,Cool
470,2012/4/14,0.487996,2795,4665,7460,Cool
471,2012/4/15,0.573875,2846,4286,7132,Cool
472,2012/4/16,0.614925,1198,5172,6370,Warm
473,2012/4/17,0.598487,989,5702,6691,Cool
474,2012/4/18,0.457038,347,4020,4367,Cool
475,2012/4/19,0.493046,846,5719,6565,Cool
476,2012/4/20,0.515775,1340,5950,7290,Cool
477,2012/4/21,0.542921,2541,4083,6624,Cool
478,2012/4/22,0.389504,120,907,1027,Cold
479,2012/4/23,0.301125,195,3019,3214,Cold
480,2012/4/24,0.405283,518,5115,5633,Cool
481,2012/4/25,0.470317,655,5541,6196,Cool
482,2012/4/26,0.483583,475,4551,5026,Cool
483,2012/4/27,0.452637,1014,5219,6233,Cool
484,2012/4/28,0.377504,1120,3100,4220,Cold
485,2012/4/29,0.450121,2229,4075,6304,Cool
486,2012/4/30,0.457696,665,4907,5572,Cool
487,2012/5/1,0.577021,653,5087,5740,Cool
488,2012/5/2,0.537896,667,5502,6169,Cool
489,2012/5/3,0.537242,764,5657,6421,Cool
490,2012/5/4,0.590917,1069,5227,6296,Cool
491,2012/5/5,0.584608,2496,4387,6883,Cool
492,2012/5/6,0.546737,2135,4224,6359,Cool
493,2012/5/7,0.527142,1008,5265,6273,Cool
494,2012/5/8,0.557471,738,4990,5728,Cool
495,2012/5/9,0.553025,620,4097,4717,Cool
496,2012/5/10,0.491783,1026,5546,6572,Cool
497,2012/5/11,0.520833,1319,5711,7030,Cool
498,2012/5/12,0.544817,2622,4807,7429,Cool
499,2012/5/13,0.585238,2172,3946,6118,Cool
500,2012/5/14,0.5499,342,2501,2843,Cool
501,2012/5/15,0.576404,625,4490,5115,Cool
502,2012/5/16,0.595975,991,6433,7424,Cool
503,2012/5/17,0.572613,1242,6142,7384,Cool
504,2012/5/18,0.551121,1521,6118,7639,Cool
505,2012/5/19,0.566908,3410,4884,8294,Cool
506,2012/5/20,0.583967,2704,4425,7129,Cool
507,2012/5/21,0.565667,630,3729,4359,Cool
508,2012/5/22,0.580825,819,5254,6073,Cool
509,2012/5/23,0.584612,766,4494,5260,Cool
510,2012/5/24,0.6067,1059,5711,6770,Warm
511,2012/5/25,0.627529,1417,5317,6734,Warm
512,2012/5/26,0.642696,2855,3681,6536,Warm
513,2012/5/27,0.641425,3283,3308,6591,Warm
514,2012/5/28,0.6793,2557,3486,6043,Warm
515,2012/5/29,0.672992,880,4863,5743,Warm
516,2012/5/30,0.611129,745,6110,6855,Warm
517,2012/5/31,0.631329,1100,6238,7338,Warm
518,2012/6/1,0.607962,533,3594,4127,Warm
519,2012/6/2,0.566288,2795,5325,8120,Cool
520,2012/6/3,0.575133,2494,5147,7641,Cool
521,2012/6/4,0.578283,1071,5927,6998,Cool
522,2012/6/5,0.525892,968,6033,7001,Cool
523,2012/6/6,0.542292,1027,6028,7055,Cool
524,2012/6/7,0.569442,1038,6456,7494,Cool
525,2012/6/8,0.597862,1488,6248,7736,Cool
526,2012/6/9,0.648367,2708,4790,7498,Warm
527,2012/6/10,0.663517,2224,4374,6598,Warm
528,2012/6/11,0.659721,1017,5647,6664,Warm
529,2012/6/12,0.597875,477,4495,4972,Cool
530,2012/6/13,0.611117,1173,6248,7421,Warm
531,2012/6/14,0.624383,1180,6183,7363,Warm
532,2012/6/15,0.599754,1563,6102,7665,Cool
533,2012/6/16,0.594708,2963,4739,7702,Cool
