instant dteday atemp casual registered
108 2011/4/18 0.503146 669 2760
109 2011/4/19 0.489258 409 2795
110 2011/4/20 0.564392 613 3331
111 2011/4/21 0.453892 745 3444
112 2011/4/22 0.321954 177 1506
113 2011/4/23 0.450121 1462 2574
114 2011/4/24 0.551763 1710 2481
115 2011/4/25 0.5745 773 3300
116 2011/4/26 0.594083 678 3722
117 2011/4/27 0.575142 547 3325
118 2011/4/28 0.578929 569 3489
119 2011/4/29 0.497463 878 3717
120 2011/4/30 0.464021 1965 3347
121 2011/5/1 0.448204 1138 2213
122 2011/5/2 0.532833 847 3554
123 2011/5/3 0.582079 603 3848
124 2011/5/4 0.40465 255 2378
125 2011/5/5 0.441917 614 3819
126 2011/5/6 0.474117 894 3714
127 2011/5/7 0.512621 1612 3102
128 2011/5/8 0.518933 1401 2932
129 2011/5/9 0.525246 664 3698
130 2011/5/10 0.522721 694 4109
131 2011/5/11 0.5284 550 3632
132 2011/5/12 0.523363 695 4169
133 2011/5/13 0.4943 692 3413
134 2011/5/14 0.500629 902 2507
135 2011/5/15 0.536 1582 2971
136 2011/5/16 0.550512 773 3185
137 2011/5/17 0.538529 678 3445
138 2011/5/18 0.527158 536 3319
139 2011/5/19 0.510742 735 3840
140 2011/5/20 0.529042 909 4008
141 2011/5/21 0.571975 2258 3547
142 2011/5/22 0.5745 1576 3084
143 2011/5/23 0.590296 836 3438
144 2011/5/24 0.604813 659 3833
145 2011/5/25 0.615542 740 4238
146 2011/5/26 0.654688 758 3919
147 2011/5/27 0.637008 871 3808
148 2011/5/28 0.612379 2001 2757
149 2011/5/29 0.61555 2355 2433
150 2011/5/30 0.671092 1549 2549
151 2011/5/31 0.725383 673 3309
152 2011/6/1 0.720967 513 3461
153 2011/6/2 0.643942 736 4232
154 2011/6/3 0.587133 898 4414
155 2011/6/4 0.594696 1869 3473
156 2011/6/5 0.616804 1685 3221
157 2011/6/6 0.621858 673 3875
158 2011/6/7 0.65595 763 4070
159 2011/6/8 0.727279 676 3725
160 2011/6/9 0.757579 563 3352
161 2011/6/10 0.703292 815 3771
162 2011/6/11 0.678038 1729 3237
163 2011/6/12 0.643325 1467 2993
164 2011/6/13 0.601654 863 4157
165 2011/6/14 0.591546 727 4164
166 2011/6/15 0.587754 769 4411
167 2011/6/16 0.595346 545 3222
168 2011/6/17 0.600383 863 3981
169 2011/6/18 0.643954 1807 3312
170 2011/6/19 0.645846 1639 3105
171 2011/6/20 0.595346 699 3311
172 2011/6/21 0.637646 774 4061
173 2011/6/22 0.693829 661 3846
174 2011/6/23 0.693833 746 4044
175 2011/6/24 0.656583 969 4022
176 2011/6/25 0.643313 1782 3420
177 2011/6/26 0.637629 1920 3385
178 2011/6/27 0.637004 854 3854
179 2011/6/28 0.692558 732 3916
180 2011/6/29 0.654688 848 4377
181 2011/6/30 0.637008 1027 4488
182 2011/7/1 0.652162 1246 4116
183 2011/7/2 0.667308 2204 2915
184 2011/7/3 0.668575 2282 2367
185 2011/7/4 0.665417 3065 2978
186 2011/7/5 0.696338 1031 3634
187 2011/7/6 0.685633 784 3845
188 2011/7/7 0.686871 754 3838
189 2011/7/8 0.670483 692 3348
190 2011/7/9 0.664158 1988 3348
191 2011/7/10 0.690025 1743 3138
192 2011/7/11 0.729804 723 3363
193 2011/7/12 0.739275 662 3596
194 2011/7/13 0.689404 748 3594
195 2011/7/14 0.635104 888 4196
196 2011/7/15 0.624371 1318 4220
197 2011/7/16 0.638263 2418 3505
198 2011/7/17 0.669833 2006 3296
199 2011/7/18 0.703925 841 3617
200 2011/7/19 0.747479 752 3789
201 2011/7/20 0.74685 644 3688
202 2011/7/21 0.826371 632 3152
203 2011/7/22 0.840896 562 2825
204 2011/7/23 0.804287 987 2298
205 2011/7/24 0.794829 1050 2556
206 2011/7/25 0.720958 568 3272
207 2011/7/26 0.696979 750 3840
208 2011/7/27 0.690667 755 3901
209 2011/7/28 0.7399 606 3784
210 2011/7/29 0.785967 670 3176
211 2011/7/30 0.728537 1559 2916
212 2011/7/31 0.729796 1524 2778
213 2011/8/1 0.703292 729 3537
214 2011/8/2 0.707071 801 4044
215 2011/8/3 0.679937 467 3107
216 2011/8/4 0.664788 799 3777
217 2011/8/5 0.656567 1023 3843
218 2011/8/6 0.676154 1521 2773
219 2011/8/7 0.715292 1298 2487
220 2011/8/8 0.703283 846 3480
221 2011/8/9 0.724121 907 3695
222 2011/8/10 0.684983 884 3896
223 2011/8/11 0.651521 812 3980
224 2011/8/12 0.654042 1051 3854
225 2011/8/13 0.645858 1504 2646
226 2011/8/14 0.624388 1338 2482
227 2011/8/15 0.616167 775 3563
228 2011/8/16 0.645837 721 4004
229 2011/8/17 0.666671 668 4026
230 2011/8/18 0.662258 639 3166
231 2011/8/19 0.633221 797 3356
232 2011/8/20 0.648996 1914 3277
233 2011/8/21 0.675525 1249 2624
234 2011/8/22 0.638254 833 3925
235 2011/8/23 0.606067 1281 4614
236 2011/8/24 0.630692 949 4181
237 2011/8/25 0.645854 435 3107
238 2011/8/26 0.659733 768 3893
239 2011/8/27 0.635556 226 889
240 2011/8/28 0.647959 1415 2919
241 2011/8/29 0.607958 729 3905
242 2011/8/30 0.594704 775 4429
243 2011/8/31 0.611121 688 4370
244 2011/9/1 0.614921 783 4332
245 2011/9/2 0.604808 875 3852
246 2011/9/3 0.633213 1935 2549
247 2011/9/4 0.665429 2521 2419
248 2011/9/5 0.625646 1236 2115
249 2011/9/6 0.5152 204 2506
250 2011/9/7 0.544229 118 1878
251 2011/9/8 0.555361 153 1689
252 2011/9/9 0.578946 417 3127
253 2011/9/10 0.607962 1750 3595
254 2011/9/11 0.609229 1633 3413
255 2011/9/12 0.60213 690 4023
256 2011/9/13 0.603554 701 4062
257 2011/9/14 0.6269 647 4138
258 2011/9/15 0.553671 428 3231
259 2011/9/16 0.461475 742 4018
260 2011/9/17 0.478512 1434 3077
261 2011/9/18 0.490537 1353 2921
262 2011/9/19 0.529675 691 3848
263 2011/9/20 0.532217 438 3203
264 2011/9/21 0.550533 539 3813
265 2011/9/22 0.554963 555 4240
266 2011/9/23 0.522125 258 2137
267 2011/9/24 0.564412 1776 3647
268 2011/9/25 0.572637 1544 3466
269 2011/9/26 0.589042 684 3946
270 2011/9/27 0.574525 477 3643
271 2011/9/28 0.575158 480 3427
272 2011/9/29 0.574512 653 4186
273 2011/9/30 0.544829 830 4372
274 2011/10/1 0.412863 480 1949
275 2011/10/2 0.345317 616 2302
276 2011/10/3 0.392046 330 3240
277 2011/10/4 0.472858 486 3970
278 2011/10/5 0.527138 559 4267
279 2011/10/6 0.480425 639 4126
280 2011/10/7 0.504404 949 4036
281 2011/10/8 0.513242 2235 3174
282 2011/10/9 0.523983 2397 3114
283 2011/10/10 0.542925 1514 3603
284 2011/10/11 0.546096 667 3896
285 2011/10/12 0.517717 217 2199
286 2011/10/13 0.551804 290 2623
287 2011/10/14 0.529675 529 3115
288 2011/10/15 0.498725 1899 3318
289 2011/10/16 0.503154 1748 3293
290 2011/10/17 0.510725 713 3857
291 2011/10/18 0.522721 637 4111
292 2011/10/19 0.513848 254 2170
293 2011/10/20 0.466525 471 3724
294 2011/10/21 0.423596 676 3628
295 2011/10/22 0.425492 1499 2809
296 2011/10/23 0.422333 1619 2762
297 2011/10/24 0.457067 699 3488
298 2011/10/25 0.463375 695 3992
299 2011/10/26 0.472846 404 3490
300 2011/10/27 0.457046 240 2419
301 2011/10/28 0.318812 456 3291
302 2011/10/29 0.227913 57 570
303 2011/10/30 0.321329 885 2446
304 2011/10/31 0.356063 362 3307
305 2011/11/1 0.397088 410 3658
306 2011/11/2 0.390133 370 3816
307 2011/11/3 0.405921 318 3656
308 2011/11/4 0.403392 470 3576
309 2011/11/5 0.323854 1156 2770
310 2011/11/6 0.362358 952 2697
311 2011/11/7 0.400871 373 3662
312 2011/11/8 0.412246 376 3829
313 2011/11/9 0.409079 305 3804
314 2011/11/10 0.373721 190 2743
315 2011/11/11 0.306817 440 2928
316 2011/11/12 0.357942 1275 2792
317 2011/11/13 0.43055 1004 2713
318 2011/11/14 0.524612 595 3891
319 2011/11/15 0.507579 449 3746
320 2011/11/16 0.451988 145 1672
321 2011/11/17 0.323221 139 2914
322 2011/11/18 0.272721 245 3147
323 2011/11/19 0.324483 943 2720
324 2011/11/20 0.457058 787 2733
325 2011/11/21 0.445062 220 2545
326 2011/11/22 0.421696 69 1538
327 2011/11/23 0.430537 112 2454
328 2011/11/24 0.372471 560 935
329 2011/11/25 0.380671 1095 1697
330 2011/11/26 0.385087 1249 1819
331 2011/11/27 0.4558 810 2261
332 2011/11/28 0.490122 253 3614
333 2011/11/29 0.451375 96 2818
334 2011/11/30 0.311221 188 3425
335 2011/12/1 0.305554 182 3545
336 2011/12/2 0.331433 268 3672
337 2011/12/3 0.310604 706 2908
338 2011/12/4 0.3491 634 2851
339 2011/12/5 0.393925 233 3578
340 2011/12/6 0.4564 126 2468
341 2011/12/7 0.400246 50 655
342 2011/12/8 0.256938 150 3172
343 2011/12/9 0.317542 261 3359
344 2011/12/10 0.266412 502 2688
345 2011/12/11 0.253154 377 2366
346 2011/12/12 0.270196 143 3167
347 2011/12/13 0.301138 155 3368
348 2011/12/14 0.338362 178 3562
349 2011/12/15 0.412237 181 3528
350 2011/12/16 0.359825 178 3399
351 2011/12/17 0.249371 275 2464
352 2011/12/18 0.245579 220 2211
353 2011/12/19 0.280933 260 3143
354 2011/12/20 0.396454 216 3534
355 2011/12/21 0.428017 107 2553
356 2011/12/22 0.426121 227 2841
357 2011/12/23 0.377513 163 2046
358 2011/12/24 0.299242 155 856
359 2011/12/25 0.279961 303 451
360 2011/12/26 0.315535 430 887
361 2011/12/27 0.327633 103 1059
362 2011/12/28 0.279974 255 2047
363 2011/12/29 0.263892 254 2169
364 2011/12/30 0.318812 491 2508
365 2011/12/31 0.414121 665 1820
366 2012/1/1 0.375621 686 1608
367 2012/1/2 0.252304 244 1707
368 2012/1/3 0.126275 89 2147
369 2012/1/4 0.119337 95 2273
370 2012/1/5 0.278412 140 3132
371 2012/1/6 0.340267 307 3791
372 2012/1/7 0.390779 1070 3451
373 2012/1/8 0.340258 599 2826
374 2012/1/9 0.247479 106 2270
375 2012/1/10 0.318826 173 3425
376 2012/1/11 0.282821 92 2085
377 2012/1/12 0.381938 269 3828
378 2012/1/13 0.249362 174 3040
379 2012/1/14 0.183087 333 2160
380 2012/1/15 0.161625 284 2027
381 2012/1/16 0.190663 217 2081
382 2012/1/17 0.364278 127 2808
383 2012/1/18 0.275254 109 3267
384 2012/1/19 0.190038 130 3162
385 2012/1/20 0.220958 115 3048
386 2012/1/21 0.174875 67 1234
387 2012/1/22 0.16225 196 1781
388 2012/1/23 0.243058 145 2287
389 2012/1/24 0.349108 439 3900
390 2012/1/25 0.294821 467 3803
391 2012/1/26 0.35605 244 3831
392 2012/1/27 0.415383 269 3187
393 2012/1/28 0.326379 775 3248
394 2012/1/29 0.272721 558 2685
395 2012/1/30 0.262625 126 3498
396 2012/1/31 0.381317 324 4185
397 2012/2/1 0.466538 304 4275
398 2012/2/2 0.398971 190 3571
399 2012/2/3 0.309346 310 3841
400 2012/2/4 0.272725 384 2448
401 2012/2/5 0.264521 318 2629
402 2012/2/6 0.296426 206 3578
403 2012/2/7 0.361104 199 4176
404 2012/2/8 0.266421 109 2693
405 2012/2/9 0.261988 163 3667
406 2012/2/10 0.293558 227 3604
407 2012/2/11 0.210867 192 1977
408 2012/2/12 0.101658 73 1456
409 2012/2/13 0.227913 94 3328
410 2012/2/14 0.333946 135 3787
411 2012/2/15 0.351629 141 4028
412 2012/2/16 0.330162 74 2931
413 2012/2/17 0.351629 349 3805
414 2012/2/18 0.355425 1435 2883
415 2012/2/19 0.265788 618 2071
416 2012/2/20 0.273391 502 2627
417 2012/2/21 0.295113 163 3614
418 2012/2/22 0.392667 394 4379
419 2012/2/23 0.444446 516 4546
420 2012/2/24 0.410971 246 3241
421 2012/2/25 0.255675 317 2415
422 2012/2/26 0.268308 515 2874
423 2012/2/27 0.357954 253 4069
424 2012/2/28 0.353525 229 4134
425 2012/2/29 0.34847 65 1769
426 2012/3/1 0.475371 325 4665
427 2012/3/2 0.359842 246 2948
428 2012/3/3 0.413492 956 3110
429 2012/3/4 0.303021 710 2713
430 2012/3/5 0.241171 203 3130
431 2012/3/6 0.255042 221 3735
432 2012/3/7 0.3851 432 4484
433 2012/3/8 0.524604 486 4896
434 2012/3/9 0.397083 447 4122
435 2012/3/10 0.277767 968 3150
436 2012/3/11 0.35967 1658 3253
437 2012/3/12 0.459592 838 4460
438 2012/3/13 0.542929 762 5085
439 2012/3/14 0.548617 997 5315
440 2012/3/15 0.532825 1005 5187
441 2012/3/16 0.436229 548 3830
442 2012/3/17 0.505046 3155 4681
443 2012/3/18 0.464 2207 3685
444 2012/3/19 0.532821 982 5171
445 2012/3/20 0.538533 1051 5042
446 2012/3/21 0.513258 1122 5108
447 2012/3/22 0.531567 1334 5537
448 2012/3/23 0.570067 2469 5893
449 2012/3/24 0.486733 1033 2339
450 2012/3/25 0.437488 1532 3464
451 2012/3/26 0.43875 795 4763
452 2012/3/27 0.315654 531 4571
453 2012/3/28 0.47095 674 5024
454 2012/3/29 0.482304 834 5299
455 2012/3/30 0.375621 796 4663
456 2012/3/31 0.421708 2301 3934
457 2012/4/1 0.417287 2347 3694
458 2012/4/2 0.427513 1208 4728
459 2012/4/3 0.461483 1348 5424
460 2012/4/4 0.53345 1058 5378
461 2012/4/5 0.431163 1192 5265
462 2012/4/6 0.390767 1807 4653
463 2012/4/7 0.426129 3252 3605
464 2012/4/8 0.492425 2230 2939
465 2012/4/9 0.476638 905 4680
466 2012/4/10 0.436233 819 5099
467 2012/4/11 0.337274 482 4380
468 2012/4/12 0.387604 663 4746
469 2012/4/13 0.431808 1252 5146
470 2012/4/14 0.487996 2795 4665
471 2012/4/15 0.573875 2846 4286
472 2012/4/16 0.614925 1198 5172
473 2012/4/17 0.598487 989 5702
474 2012/4/18 0.457038 347 4020
475 2012/4/19 0.493046 846 5719
476 2012/4/20 0.515775 1340 5950
477 2012/4/21 0.542921 2541 4083
478 2012/4/22 0.389504 120 907
479 2012/4/23 0.301125 195 3019
480 2012/4/24 0.405283 518 5115
481 2012/4/25 0.470317 655 5541
482 2012/4/26 0.483583 475 4551
483 2012/4/27 0.452637 1014 5219
484 2012/4/28 0.377504 1120 3100
485 2012/4/29 0.450121 2229 4075
486 2012/4/30 0.457696 665 4907
487 2012/5/1 0.577021 653 5087
488 2012/5/2 0.537896 667 5502
489 2012/5/3 0.537242 764 5657
490 2012/5/4 0.590917 1069 5227
491 2012/5/5 0.584608 2496 4387
492 2012/5/6 0.546737 2135 4224
493 2012/5/7 0.527142 1008 5265
494 2012/5/8 0.557471 738 4990
495 2012/5/9 0.553025 620 4097
496 2012/5/10 0.491783 1026 5546
497 2012/5/11 0.520833 1319 5711
498 2012/5/12 0.544817 2622 4807
499 2012/5/13 0.585238 2172 3946
500 2012/5/14 0.5499 342 2501
501 2012/5/15 0.576404 625 4490
502 2012/5/16 0.595975 991 6433
503 2012/5/17 0.572613 1242 6142
504 2012/5/18 0.551121 1521 6118
505 2012/5/19 0.566908 3410 4884
506 2012/5/20 0.583967 2704 4425
507 2012/5/21 0.565667 630 3729
508 2012/5/22 0.580825 819 5254
509 2012/5/23 0.584612 766 4494
510 2012/5/24 0.6067 1059 5711
511 2012/5/25 0.627529 1417 5317
512 2012/5/26 0.642696 2855 3681
513 2012/5/27 0.641425 3283 3308
514 2012/5/28 0.6793 2557 3486
515 2012/5/29 0.672992 880 4863
516 2012/5/30 0.611129 745 6110
517 2012/5/31 0.631329 1100 6238
518 2012/6/1 0.607962 533 3594
519 2012/6/2 0.566288 2795 5325
520 2012/6/3 0.575133 2494 5147
521 2012/6/4 0.578283 1071 5927
522 2012/6/5 0.525892 968 6033
523 2012/6/6 0.542292 1027 6028
524 2012/6/7 0.569442 1038 6456
525 2012/6/8 0.597862 1488 6248
526 2012/6/9 0.648367 2708 4790
527 2012/6/10 0.663517 2224 4374
528 2012/6/11 0.659721 1017 5647
529 2012/6/12 0.597875 477 4495
530 2012/6/13 0.611117 1173 6248
531 2012/6/14 0.624383 1180 6183
532 2012/6/15 0.599754 1563 6102
533 2012/6/16 0.594708 2963 4739
534 2012/6/17 0.571975 2634 4344
535 2012/6/18 0.544842 653 4446
536 2012/6/19 0.654692 968 5857
537 2012/6/20 0.720975 872 5339
538 2012/6/21 0.752542 778 5127
539 2012/6/22 0.724121 964 4859
540 2012/6/23 0.652792 2657 4801
541 2012/6/24 0.674254 2551 4340
542 2012/6/25 0.654042 1139 5640
543 2012/6/26 0.594704 1077 6365
544 2012/6/27 0.640792 1077 6258
545 2012/6/28 0.675512 921 5958
546 2012/6/29 0.786613 829 4634
547 2012/6/30 0.687508 1455 4232
548 2012/7/1 0.750629 1421 4110
549 2012/7/2 0.702038 904 5323
550 2012/7/3 0.70265 1052 5608
551 2012/7/4 0.732337 2562 4841
552 2012/7/5 0.761367 1405 4836
553 2012/7/6 0.752533 1366 4841
554 2012/7/7 0.804913 1448 3392
555 2012/7/8 0.790396 1203 3469
556 2012/7/9 0.654054 998 5571
557 2012/7/10 0.664796 954 5336
558 2012/7/11 0.650271 975 6289
559 2012/7/12 0.654683 1032 6414
560 2012/7/13 0.667933 1511 5988
561 2012/7/14 0.666042 2355 4614
562 2012/7/15 0.705196 1920 4111
563 2012/7/16 0.724125 1088 5742
564 2012/7/17 0.755683 921 5865
565 2012/7/18 0.745583 799 4914
566 2012/7/19 0.714642 888 5703
567 2012/7/20 0.613025 747 5123
568 2012/7/21 0.549912 1264 3195
569 2012/7/22 0.623125 2544 4866
570 2012/7/23 0.690017 1135 5831
571 2012/7/24 0.70645 1140 6452
572 2012/7/25 0.654054 1383 6790
573 2012/7/26 0.739263 1036 5825
574 2012/7/27 0.734217 1259 5645
575 2012/7/28 0.697604 2234 4451
576 2012/7/29 0.667933 2153 4444
577 2012/7/30 0.684987 1040 6065
578 2012/7/31 0.662896 968 6248
579 2012/8/1 0.667308 1074 6506
580 2012/8/2 0.707088 983 6278
581 2012/8/3 0.722867 1328 5847
582 2012/8/4 0.751267 2345 4479
583 2012/8/5 0.731079 1707 3757
584 2012/8/6 0.710246 1233 5780
585 2012/8/7 0.697621 1278 5995
586 2012/8/8 0.707717 1263 6271
587 2012/8/9 0.699508 1196 6090
588 2012/8/10 0.667942 1065 4721
589 2012/8/11 0.638267 2247 4052
590 2012/8/12 0.644579 2182 4362
591 2012/8/13 0.662254 1207 5676
592 2012/8/14 0.676779 1128 5656
593 2012/8/15 0.654037 1198 6149
594 2012/8/16 0.654688 1338 6267
595 2012/8/17 0.2424 1483 5665
596 2012/8/18 0.618071 2827 5038
597 2012/8/19 0.603554 1208 3341
598 2012/8/20 0.595967 1026 5504
599 2012/8/21 0.601025 1081 5925
600 2012/8/22 0.621854 1094 6281
601 2012/8/23 0.637008 1363 6402
602 2012/8/24 0.6471 1325 6257
603 2012/8/25 0.618696 1829 4224
604 2012/8/26 0.595996 1483 3772
605 2012/8/27 0.654688 989 5928
606 2012/8/28 0.66605 935 6105
607 2012/8/29 0.635733 1177 6520
608 2012/8/30 0.652779 1172 6541
609 2012/8/31 0.6894 1433 5917
610 2012/9/1 0.702654 2352 3788
611 2012/9/2 0.649 2613 3197
612 2012/9/3 0.661629 1965 4069
613 2012/9/4 0.686888 867 5997
614 2012/9/5 0.708983 832 6280
615 2012/9/6 0.655329 611 5592
616 2012/9/7 0.657204 1045 6459
617 2012/9/8 0.611121 1557 4419
618 2012/9/9 0.578925 2570 5657
619 2012/9/10 0.565654 1118 6407
620 2012/9/11 0.554292 1070 6697
621 2012/9/12 0.570075 1050 6820
622 2012/9/13 0.579558 1054 6750
623 2012/9/14 0.594083 1379 6630
624 2012/9/15 0.585867 3160 5554
625 2012/9/16 0.563125 2166 5167
626 2012/9/17 0.55305 1022 5847
627 2012/9/18 0.565067 371 3702
628 2012/9/19 0.540404 788 6803
629 2012/9/20 0.532192 939 6781
630 2012/9/21 0.571971 1250 6917
631 2012/9/22 0.610488 2512 5883
632 2012/9/23 0.518933 2454 5453
633 2012/9/24 0.502513 1001 6435
634 2012/9/25 0.544179 845 6693
635 2012/9/26 0.596613 787 6946
636 2012/9/27 0.607975 751 6642
637 2012/9/28 0.585863 1045 6370
638 2012/9/29 0.530296 2589 5966
639 2012/9/30 0.517663 2015 4874
640 2012/10/1 0.512 763 6015
641 2012/10/2 0.542333 315 4324
642 2012/10/3 0.599133 728 6844
643 2012/10/4 0.607975 891 6437
644 2012/10/5 0.580187 1516 6640
645 2012/10/6 0.538521 3031 4934
646 2012/10/7 0.419813 781 2729
647 2012/10/8 0.387608 874 4604
648 2012/10/9 0.438112 601 5791
649 2012/10/10 0.503142 780 6911
650 2012/10/11 0.431167 834 6736
651 2012/10/12 0.433071 1060 6222
652 2012/10/13 0.391396 2252 4857
653 2012/10/14 0.508204 2080 4559
654 2012/10/15 0.53915 760 5115
655 2012/10/16 0.460846 922 6612
656 2012/10/17 0.450108 979 6482
657 2012/10/18 0.512625 1008 6501
658 2012/10/19 0.537896 753 4671
659 2012/10/20 0.472842 2806 5284
660 2012/10/21 0.456429 2132 4692
661 2012/10/22 0.482942 830 6228
662 2012/10/23 0.530304 841 6625
663 2012/10/24 0.558721 795 6898
664 2012/10/25 0.529688 875 6484
665 2012/10/26 0.52275 1182 6262
666 2012/10/27 0.515133 2643 5209
667 2012/10/28 0.467771 998 3461
668 2012/10/29 0.4394 2 20
669 2012/10/30 0.309909 87 1009
670 2012/10/31 0.3611 419 5147
671 2012/11/1 0.369942 466 5520
672 2012/11/2 0.356042 618 5229
673 2012/11/3 0.323846 1029 4109
674 2012/11/4 0.329538 1201 3906
675 2012/11/5 0.308075 378 4881
676 2012/11/6 0.281567 466 5220
677 2012/11/7 0.274621 326 4709
678 2012/11/8 0.341891 340 4975
679 2012/11/9 0.355413 709 5283
680 2012/11/10 0.393937 2090 4446
681 2012/11/11 0.421713 2290 4562
682 2012/11/12 0.475383 1097 5172
683 2012/11/13 0.323225 327 3767
684 2012/11/14 0.281563 373 5122
685 2012/11/15 0.324492 320 5125
686 2012/11/16 0.347204 484 5214
687 2012/11/17 0.326383 1313 4316
688 2012/11/18 0.337746 922 3747
689 2012/11/19 0.375621 449 5050
690 2012/11/20 0.380667 534 5100
691 2012/11/21 0.364892 615 4531
692 2012/11/22 0.350371 955 1470
693 2012/11/23 0.378779 1603 2307
694 2012/11/24 0.248742 532 1745
695 2012/11/25 0.257583 309 2115
696 2012/11/26 0.339004 337 4750
697 2012/11/27 0.281558 123 3836
698 2012/11/28 0.289762 198 5062
699 2012/11/29 0.298422 243 5080
700 2012/11/30 0.323867 362 5306
701 2012/12/1 0.316904 951 4240
702 2012/12/2 0.359208 892 3757
703 2012/12/3 0.455796 555 5679
704 2012/12/4 0.469054 551 6055
705 2012/12/5 0.428012 331 5398
706 2012/12/6 0.258204 340 5035
707 2012/12/7 0.321958 349 4659
708 2012/12/8 0.389508 1153 4429
709 2012/12/9 0.390146 441 2787
710 2012/12/10 0.435575 329 4841
711 2012/12/11 0.338363 282 5219
712 2012/12/12 0.297338 310 5009
713 2012/12/13 0.294188 425 5107
714 2012/12/14 0.294192 429 5182
715 2012/12/15 0.338383 767 4280
716 2012/12/16 0.369938 538 3248
717 2012/12/17 0.4015 212 4373
718 2012/12/18 0.409708 433 5124
719 2012/12/19 0.342162 333 4934
720 2012/12/20 0.335217 314 3814
721 2012/12/21 0.301767 221 3402
722 2012/12/22 0.236113 205 1544
723 2012/12/23 0.259471 408 1379
724 2012/12/24 0.2589 174 746
725 2012/12/25 0.294465 440 573
